Gene ID	Homologs	Symbol	Description	Training	Score	Evidence	Notes
ENSG00000083123	ENSDARG00000014676 ENSMUSG00000032263 ENSRNOG00000009928 SPBC30D10.13c YBR221C 	BCKDHB	"branched chain keto acid dehydrogenase E1, beta polypeptide"	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID16415296_unknown_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 12 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID21189371_mammary_gland_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 4 | MS_Heart_Sum: 2 | MTS_Mean: 0.85400625 | hela_subcell_location_Mitochondrion: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.962 | 	Characterised; Metabolic model; APEX (matrix) - PMID:23371551
ENSG00000083720	ENSMUSG00000022186 ENSRNOG00000043094 	OXCT1	3-oxoacid CoA transferase 1	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID14651853_Sum: 3 | PMID15253431_Sum: 2 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 5 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 7 | MTS_Mean: 0.5967 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 3 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.792 | 	Characterised; Metabolic model; APEX (matrix) - PMID:23371551
ENSG00000085760	ENSDARG00000063213 ENSMUSG00000020459 ENSRNOG00000004161 SPBC1271.15c YOL023W 	MTIF2	mitochondrial translational initiation factor 2	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.8532 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Comm_Mito_Ratio: 0.542 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000087299	ENSDARG00000060500 ENSMUSG00000020988 ENSRNOG00000004857 	L2HGDH	L-2-hydroxyglutarate dehydrogenase	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 10 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.8079875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1.4 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000100216	ENSDARG00000045146 ENSMUSG00000022427 ENSRNOG00000014058 	TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.04436875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 2.8 | Comm_Mito_Ratio: 1 | 	Characterised
ENSG00000100294	ENSDARG00000016613 ENSMUSG00000048755 ENSRNOG00000010539 	MCAT	malonyl CoA:ACP acyltransferase (mitochondrial)	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 10 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MTS_Mean: 0.93004375 | hela_subcell_location_Mitochondrion: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.88 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000103507	ENSDARG00000016904 ENSMUSG00000030802 ENSRNOG00000019485 	BCKDK	branched chain ketoacid dehydrogenase kinase	Known mitochondrial	1	PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 13 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.749175 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.923 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000103642	ENSDARG00000040803 ENSMUSG00000032370 ENSRNOG00000018081 	LACTB	"lactamase, beta"	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.81124375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | 	Characterised; APEX (IMS) - PMID:25002142
ENSG00000104325	ENSDARG00000003869 ENSMUSG00000028223 ENSRNOG00000008236 	DECR1	"2,4-dienoyl CoA reductase 1, mitochondrial"	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID14651853_Sum: 3 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12210211_Sum: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 7 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 7 | MTS_Mean: 0.8918375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.355 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000104980	ENSDARG00000104771 ENSMUSG00000002949 ENSRNOG00000001058 SPBC14C8.02 YIL022W 	TIMM44	translocase of inner mitochondrial membrane 44 homolog (yeast)	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 2 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615899_liver_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 2 | MTS_Mean: 0.71000625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 1 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000105607	ENSDARG00000037057 ENSMUSG00000003809 ENSRNOG00000003307 	GCDH	glutaryl-CoA dehydrogenase	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID14651853_Sum: 3 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID16615898_Sum: 3 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 2 | MTS_Mean: 0.89291875 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | 	Characterised; Metabolic model; APEX (matrix) - PMID:23371551
ENSG00000105755	ENSDARG00000005713 ENSMUSG00000064254 ENSRNOG00000019982 	ETHE1	ethylmalonic encephalopathy 1	Known mitochondrial	1	PMID14651853_Sum: 2 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 13 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 5 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 3 | MTS_Mean: 0.96515 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.692 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000105819	ENSDARG00000016979 ENSMUSG00000029017 ENSRNOG00000012693 	PMPCB	peptidase (mitochondrial processing) beta	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID12592411_heart_0: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 3 | PMID21672642_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 4 | MTS_Mean: 0.91440625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.6 | Comm_Mito_Ratio: 1 | 	Characterised; APEX (matrix) - PMID:23371551
ENSG00000107745	ENSDARG00000063358 ENSMUSG00000020111 ENSRNOG00000043436 	MICU1	mitochondrial calcium uptake 1	Known mitochondrial	1	PMID28435121_hESCs: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 11 | PMID17000643_Sum: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MTS_Mean: 0.6058 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | MammalMitoEvidenceGFP: 1 | compartments_knowledge_difference: 2.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | 	Characterised; APEX (IMS) - PMID:25002142
