GeneID	EnsemblGeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
23457	ENSG00000150967	ABCB9	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	"EST122234, TAPL, Q9NP78"	6	3%	"yeast mito homolog+, Rickettsial homolog, mito protein domain"	"cerebrum, cerebellum, stomach, placenta, testis"
215	ENSG00000101986	ABCD1	"ATP-binding cassette, sub-family D (ALD), member 1"	"ABC42, ALD, ALDP, AMN, P33897"	5	4%	"Rickettsial homolog, mito protein domain, induction"	adipose
225	ENSG00000173208	ABCD2	"ATP-binding cassette, sub-family D (ALD), member 2"	"ABC39, ALDL1, ALDR, ALDRP, hALDR, Q9UBJ2"	10	0%	"targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS+"	adipose
5825	ENSG00000117528	ABCD3	"ATP-binding cassette, sub-family D (ALD), member 3"	"ABC43, PMP70, PXMP1, ZWS2, P28288"	13	0%	"GFP, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression"	"kidney, liver, adipose, placenta, testis"
10061	ENSG00000033050	ABCF2	"ATP-binding cassette, sub-family F (GCN20), member 2"	"ABC28, EST133090, HUSSY18, Q9UG63"	0	38%	"literature, Rickettsial homolog, mito protein domain"	cerebrum
55347	ENSG00000144827	ABHD10	abhydrolase domain containing 10	Q9NUJ1	9	1%	"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
83451	ENSG00000106077	ABHD11	abhydrolase domain containing 11	"WBSCR21, Q8NFV4"	31	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	"cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
30	ENSG00000060971	ACAA1	acetyl-CoA acyltransferase 1	"ACAA, PTHIO, THIO, P09110"	14	0%	"yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression"	"kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
10449	ENSG00000167315	ACAA2	acetyl-CoA acyltransferase 2	"DSAEC, P42765"	22	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
31	ENSG00000132142	ACACA	acetyl-CoA carboxylase alpha	"ACAC, ACACAD, ACC, ACC1, ACCA, Q13085"	10	0%	"targetP signal, Rickettsial homolog, mito protein domain, coexpression"	"brainstem, spinalcord, liver, adipose, largeintestine, stomach, placenta, testis"
32	ENSG00000076555	ACACB	acetyl-CoA carboxylase beta	"ACC2, ACCB, HACC275, O00763"	7	2%	"Rickettsial homolog, mito protein domain, coexpression+"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, largeintestine, stomach, placenta, testis"
80724	ENSG00000111271	ACAD10	"acyl-CoA dehydrogenase family, member 10"	Q6JQN1	20	0%	"APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	"cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
84129	ENSG00000240303	ACAD11	"acyl-CoA dehydrogenase family, member 11"	"ACAD-11, Q709F0"	13	0%	"mito protein domain+, induction, coexpression"	"spinalcord, kidney, liver, adipose"
27034	ENSG00000151498	ACAD8	"acyl-CoA dehydrogenase family, member 8"	"ACAD-8, ARC42, Q9UKU7"	22	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++"	all 14
28976	ENSG00000177646	ACAD9	"acyl-CoA dehydrogenase family, member 9"	"NPD002, Q9H845"	18	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, MS/MS++"	all 14
33	ENSG00000115361	ACADL	"acyl-CoA dehydrogenase, long chain"	"ACAD4, LCAD, P28330"	28	0%	"literature, targetP signal+, mito protein domain+, induction, coexpression+, MS/MS++"	all 14
34	ENSG00000117054	ACADM	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	"ACAD1, MCAD, MCADH, P11310"	30	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
35	ENSG00000122971	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	"ACAD3, SCAD, P16219"	32	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
36	ENSG00000196177	ACADSB	"acyl-CoA dehydrogenase, short/branched chain"	"2-MEBCAD, ACAD7, SBCAD, P45954"	25	0%	"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS++"	all 14
37	ENSG00000072778	ACADVL	"acyl-CoA dehydrogenase, very long chain"	"ACAD6, LCACD, VLCAD, P49748"	25	0%	"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression+, MS/MS++"	all 14
38	ENSG00000075239	ACAT1	acetyl-CoA acetyltransferase 1	"ACAT, MAT, T2, THIL, P24752"	28	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
84680	ENSG00000110455	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	"ACS, PHACS, Q96QU6"	8	1%	"yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression"	none
47	ENSG00000131473	ACLY	ATP citrate lyase	"ACL, ATPCL, CLATP, P53396"	10	0%	"APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, largeintestine, stomach, placenta, testis"
57001	ENSG00000196636	ACN9	ACN9 homolog (S. cerevisiae)	Q9NRP4	16	0%	"targetP signal, yeast mito homolog++, coexpression+, MS/MS"	"adipose, testis"
48	ENSG00000122729	ACO1	"aconitase 1, soluble"	"ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1, P21399"	5	4%	"Rickettsial homolog, mito protein domain, coexpression"	"liver, smallintestine, placenta, testis"
50	ENSG00000100412	ACO2	"aconitase 2, mitochondrial"	"ACONM, ICRD, Q99798"	30	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
55856	ENSG00000112304	ACOT13	acyl-CoA thioesterase 13	"PNAS-27, THEM2, Q9NPJ3"	18	0%	"mito protein domain, induction, coexpression, MS/MS++"	all 14
10965	ENSG00000119673	ACOT2	acyl-CoA thioesterase 2	"CTE-IA, CTE1A, MTE1, PTE2, PTE2A, ZAP128, P49753"	13	0%	"literature, mito protein domain, induction, coexpression, MS/MS++"	all 14
11332	ENSG00000097021	ACOT7	acyl-CoA thioesterase 7	"ACH1, ACT, BACH, CTE-II, LACH, LACH1, RP1-120G22.10, hBACH, O00154"	6	3%	"targetP signal+, mito protein domain, induction"	"brainstem, spinalcord, adipose, largeintestine"
23597	ENSG00000123130	ACOT9	acyl-CoA thioesterase 9	"ACATE2, MT-ACT48, MTACT48, Q9Y305"	9	1%	"literature, targetP signal, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
51	ENSG00000161533	ACOX1	"acyl-CoA oxidase 1, palmitoyl"	"ACOX, PALMCOX, SCOX, Q15067"	5	5%	"mito protein domain+, coexpression"	"kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, placenta, testis"
8310	ENSG00000087008	ACOX3	"acyl-CoA oxidase 3, pristanoyl"	O15254	6	3%	"mito protein domain+, induction"	"kidney, liver, adipose, testis"
51205	ENSG00000162836	ACP6	"acid phosphatase 6, lysophosphatidic"	"ACPL1, LPAP, PACPL1, Q9NPH0"	4	7%	"literature, APEX_IMS, mito protein domain, MS/MS++"	"cerebrum, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
80221	ENSG00000167107	ACSF2	acyl-CoA synthetase family member 2	"ACSMW, AVYV493, Q96CM8"	15	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
197322	ENSG00000176715	ACSF3	acyl-CoA synthetase family member 3	Q4G176	22	0%	"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
2180	ENSG00000151726	ACSL1	acyl-CoA synthetase long-chain family member 1	"ACS1, FACL1, FACL2, LACS, LACS1, LACS2, P33121"	7	2%	"Rickettsial homolog, mito protein domain, coexpression"	all 14
2182	ENSG00000068366	ACSL4	acyl-CoA synthetase long-chain family member 4	"ACS4, FACL4, LACS4, MRX63, MRX68, O60488"	-1	47%	"GFP, Rickettsial homolog, mito protein domain"	"spinalcord, kidney, placenta"
23305	ENSG00000164398	ACSL6	acyl-CoA synthetase long-chain family member 6	"ACS2, FACL6, LACS 6, LACS2, LACS5, Q9UKU0"	10	1%	"Rickettsial homolog, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, testis"
116285	ENSG00000166743	ACSM1	acyl-CoA synthetase medium-chain family member 1	"BUCS1, MACS1, Q08AH1"	18	0%	"literature, targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	"spinalcord, kidney, liver, smallintestine"
123876	ENSG00000183747	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	"A-923A4.1, ACSM2, Q08AH3"	9	1%	"targetP signal, mito protein domain, MS/MS+"	"kidney, liver, heart"
6296	ENSG00000005187	ACSM3	acyl-CoA synthetase medium-chain family member 3	"SA, SAH, Q53FZ2"	16	0%	"literature, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS++"	"kidney, liver, adipose, smallintestine, largeintestine, stomach"
54988	ENSG00000183549	ACSM5	acyl-CoA synthetase medium-chain family member 5	Q6NUN0	19	0%	"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	"kidney, liver, adipose, smallintestine, largeintestine"
84532	ENSG00000154930	ACSS1	acyl-CoA synthetase short-chain family member 1	"ACAS2L, ACECS1, AceCS2L, Q9NUB1"	9	1%	"literature, APEX_matrix, targetP signal, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
79611	ENSG00000111058	ACSS3	acyl-CoA synthetase short-chain family member 3	Q9H6R3	7	2%	"Rickettsial homolog, mito protein domain, MS/MS"	"kidney, liver, adipose, placenta, testis"
98	ENSG00000170634	ACYP2	"acylphosphatase 2, muscle type"	"ACYM, ACYP, P14621"	1	23%	"GFP, induction, MS/MS"	"brainstem, spinalcord, adipose"
57143	ENSG00000063761	ADCK1	aarF domain containing kinase 1	Q86TW2	9	1%	"yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS"	"cerebrum, spinalcord, kidney, heart, skeletalmuscle, adipose, stomach, placenta"
90956	ENSG00000133597	ADCK2	aarF domain containing kinase 2	"AARF, Q7Z695"	6	3%	"GFP, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain"	none
56997	ENSG00000163050	ADCK3	aarF domain containing kinase 3	"ARCA2, CABC1, COQ10D4, COQ8, SCAR9, Q8NI60"	25	0%	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++"	all 14
79934	ENSG00000123815	ADCK4	aarF domain containing kinase 4	"NPHS9, Q96D53"	6	3%	"APEX_matrix, GFP, yeast mito homolog+, Rickettsial homolog, mito protein domain"	"adipose, smallintestine, largeintestine, placenta"
203054	ENSG00000173137	ADCK5	aarF domain containing kinase 5	Q3MIX3	20	0%	"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	"cerebrum, largeintestine, testis"
137872	ENSG00000147576	ADHFE1	"alcohol dehydrogenase, iron containing, 1"	"ADH8, HOT, Q8IWW8"	26	0%	"targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	"kidney, liver, heart, adipose, stomach, placenta"
10939	ENSG00000141385	AFG3L2	AFG3-like AAA ATPase 2	"SCA28, SPAX5, Q9Y4W6"	33	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
55750	ENSG00000006530	AGK	acylglycerol kinase	"CATC5, CTRCT38, MTDPS10, MULK, Q53H12"	-2	55%	"literature, APEX_IMS, mito protein domain"	"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
79814	ENSG00000116771	AGMAT	agmatine ureohydrolase (agmatinase)	Q9BSE5	4	6%	"literature, targetP signal, mito protein domain, MS/MS+"	"liver, smallintestine"
55326	ENSG00000155189	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	"1AGPAT5, LPAATE, Q9NUQ2"	5	4%	"literature, Rickettsial homolog, mito protein domain, induction, MS/MS"	"cerebellum, brainstem, spinalcord, adipose, smallintestine, largeintestine, placenta, testis"
10551	ENSG00000106541	AGR2	anterior gradient 2	"AG2, GOB-4, HAG-2, HEL-S-116, PDIA17, XAG-2, O95994"	-2	53%	"GFP, MS/MS"	"skeletalmuscle, smallintestine, largeintestine, stomach"
189	ENSG00000172482	AGXT	alanine-glyoxylate aminotransferase	"AGT, AGT1, AGXT1, PH1, SPAT, SPT, TLH6, P21549"	4	7%	"literature, yeast mito homolog, mito protein domain, MS/MS"	liver
64902	ENSG00000113492	AGXT2	alanine--glyoxylate aminotransferase 2	"AGT2, DAIBAT, Q9BYV1"	13	0%	"literature, yeast mito homolog++, mito protein domain, MS/MS+"	"kidney, liver"
10768	ENSG00000168710	AHCYL1	adenosylhomocysteinase-like 1	"DCAL, IRBIT, PRO0233, XPVKONA, O43865"	7	2%	"targetP signal, mito protein domain+, induction"	"brainstem, spinalcord, smallintestine, stomach"
9131	ENSG00000156709	AIFM1	"apoptosis-inducing factor, mitochondrion-associated, 1"	"AIF, CMT2D, CMTX4, COWCK, COXPD6, NADMR, NAMSD, PDCD8, O95831"	31	0%	"literature, APEX_IMS, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	all 14
84883	ENSG00000042286	AIFM2	"apoptosis-inducing factor, mitochondrion-associated, 2"	"AMID, PRG3, RP11-367H5.2, Q9BRQ8"	3	13%	"literature, Rickettsial homolog, mito protein domain, coexpression"	none
150209	ENSG00000183773	AIFM3	"apoptosis-inducing factor, mitochondrion-associated, 3"	"AIFL, Q96NN9"	8	2%	"literature, yeast mito homolog, Rickettsial homolog, mito protein domain+"	none
204	ENSG00000004455	AK2	adenylate kinase 2	"ADK2, AK 2, P54819"	17	0%	"literature, APEX_IMS, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++"	all 14
50808	ENSG00000147853	AK3	adenylate kinase 3	"AK3L1, AK6, AKL3L, AKL3L1, FIX, Q9UIJ7"	25	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++"	all 14
205	ENSG00000162433	AK4	adenylate kinase 4	"AK 4, AK3, AK3L1, AK3L2, P27144"	19	0%	"APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++"	all 14
8165	ENSG00000121057	AKAP1	A kinase (PRKA) anchor protein 1	"AKAP, AKAP121, AKAP149, AKAP84, D-AKAP1, PPP1R43, PRKA1, SAKAP84, TDRD17, Q92667"	17	0%	"literature, mito protein domain, induction, coexpression++, MS/MS+"	"cerebellum, skeletalmuscle, testis"
11216	ENSG00000108599	AKAP10	A kinase (PRKA) anchor protein 10	"AKAP-10, D-AKAP-2, D-AKAP2, PRKA10, O43572"	-6	76%	"literature, mito protein domain"	none
57016	ENSG00000198074	AKR1B10	"aldo-keto reductase family 1, member B10 (aldose reductase)"	"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI, O60218"	10	1%	"induction, coexpression, MS/MS++"	"cerebrum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
8574	ENSG00000053371	AKR7A2	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"	"AFAR, AFAR1, AFB1-AR1, AKR7, O43488"	9	1%	"APEX_matrix, targetP signal, coexpression, MS/MS++"	all 14
211	ENSG00000023330	ALAS1	"aminolevulinate, delta-, synthase 1"	"ALAS, ALAS3, ALASH, MIG4, P13196"	26	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS"	"liver, heart, adipose, largeintestine, placenta"
212	ENSG00000158578	ALAS2	"aminolevulinate, delta-, synthase 2"	"ALAS-E, ALASE, ANH1, ASB, XLDPP, XLEPP, XLSA, P22557"	13	0%	"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression"	none
5832	ENSG00000059573	ALDH18A1	"aldehyde dehydrogenase 18 family, member A1"	"ARCL3A, GSAS, P5CS, PYCS, P54886"	14	0%	"literature, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
219	ENSG00000137124	ALDH1B1	"aldehyde dehydrogenase 1 family, member B1"	"ALDH5, ALDHX, P30837"	17	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, MS/MS++"	all 14
10840	ENSG00000144908	ALDH1L1	"aldehyde dehydrogenase 1 family, member L1"	"10-FTHFDH, 10-fTHF, FDH, FTHFD, O75891"	11	0%	"APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS"	"cerebrum, liver, smallintestine, largeintestine, stomach, placenta, testis"
160428	ENSG00000136010	ALDH1L2	"aldehyde dehydrogenase 1 family, member L2"	"mtFDH, Q3SY69"	13	0%	"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	"brainstem, spinalcord, liver, skeletalmuscle, smallintestine, largeintestine, stomach, placenta"
217	ENSG00000111275	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	"ALDH-E2, ALDHI, ALDM, P05091"	22	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	all 14
224	ENSG00000072210	ALDH3A2	"aldehyde dehydrogenase 3 family, member A2"	"ALDH10, FALDH, SLS, P51648"	10	1%	"targetP signal+, mito protein domain, coexpression"	"spinalcord, kidney, liver, smallintestine, largeintestine, stomach, placenta, testis"
8659	ENSG00000159423	ALDH4A1	"aldehyde dehydrogenase 4 family, member A1"	"ALDH4, P5CD, P5CDh, P30038"	25	0%	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++"	all 14
7915	ENSG00000112294	ALDH5A1	"aldehyde dehydrogenase 5 family, member A1"	"SSADH, SSDH, P51649"	10	0%	"APEX_matrix, targetP signal, mito protein domain, MS/MS++"	all 14
4329	ENSG00000119711	ALDH6A1	"aldehyde dehydrogenase 6 family, member A1"	"MMSADHA, MMSDH, Q02252"	23	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	all 14
501	ENSG00000164904	ALDH7A1	"aldehyde dehydrogenase 7 family, member A1"	"ATQ1, EPD, PDE, P49419"	13	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
223	ENSG00000143149	ALDH9A1	"aldehyde dehydrogenase 9 family, member A1"	"ALDH4, ALDH7, ALDH9, E3, TMABADH, P49189"	23	0%	"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++"	"brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
8846	ENSG00000100601	ALKBH1	"alkB, alkylation repair homolog 1 (E. coli)"	"ABH, ABH1, ALKBH, alkB, hABH, Q13686"	-6	76%	"literature, APEX_matrix, mito protein domain"	none
221120	ENSG00000166199	ALKBH3	"alkB, alkylation repair homolog 3 (E. coli)"	"ABH3, DEPC-1, DEPC1, PCA1, Q96Q83"	6	3%	"targetP signal, mito protein domain, induction, coexpression"	none
84266	ENSG00000125652	ALKBH7	"alkB, alkylation repair homolog 7 (E. coli)"	"ABH7, SPATA11, UNQ6002, Q9BT30"	20	0%	"APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS"	"cerebellum, brainstem, largeintestine, testis"
23600	ENSG00000242110	AMACR	alpha-methylacyl-CoA racemase	"AMACRD, CBAS4, RACE, RM, Q9UHK6"	4	6%	"literature, mito protein domain, coexpression, MS/MS"	"kidney, liver, adipose, smallintestine, testis"
275	ENSG00000145020	AMT	aminomethyltransferase	"GCE, GCST, GCVT, NKH, P48728"	13	0%	"targetP signal+, mito protein domain, MS/MS++"	"cerebrum, brainstem, spinalcord, kidney, liver, largeintestine, stomach, placenta"
90806	ENSG00000174606	ANGEL2	angel homolog 2 (Drosophila)	"KIAA0759L, Q5VTE6"	0	30%	"APEX_matrix, mito protein domain, MS/MS"	"adipose, smallintestine, placenta, testis"
27301	ENSG00000169188	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	"APE2, APEXL2, XTH2, Q9UBZ4"	0	30%	"literature, targetP signal, Rickettsial homolog, mito protein domain"	none
128240	ENSG00000163382	APOA1BP	apolipoprotein A-I binding protein	"AIBP, YJEFN1, Q8NCW5"	16	0%	"APEX_matrix, targetP signal, mito protein domain, coexpression, MS/MS++"	all 14
79135	ENSG00000184831	APOO	apolipoprotein O	"FAM121B, Q9BUR5"	13	0%	"literature, APEX_IMS, mito protein domain+, MS/MS++"	all 14
139322	ENSG00000155008	APOOL	apolipoprotein O-like	"CXorf33, FAM121A, UNQ8193, Q6UXV4"	31	0%	"literature, yeast mito homolog, mito protein domain+, induction, coexpression++, MS/MS++"	all 14
84334	ENSG00000256053	APOPT1	"apoptogenic 1, mitochondrial"	"APOP1, C14orf153, Q96IL0"	13	0%	"literature, targetP signal, mito protein domain+, coexpression+"	"largeintestine, placenta"
381	ENSG00000004059	ARF5	ADP-ribosylation factor 5	P84085	6	3%	"targetP signal, mito protein domain, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
384	ENSG00000081181	ARG2	arginase 2	P78540	7	2%	"literature, APEX_matrix, targetP signal+, mito protein domain, MS/MS"	"kidney, adipose, smallintestine, largeintestine, placenta"
402	ENSG00000213465	ARL2	ADP-ribosylation factor-like 2	"ARFL2, P36404"	4	6%	"literature, mito protein domain, coexpression, MS/MS+"	"cerebrum, brainstem, spinalcord, adipose, largeintestine"
83787	ENSG00000170632	ARMC10	armadillo repeat containing 10	"PNAS-112, PNAS112, SVH, Q8N2F6"	-4	67%	"GFP, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, liver, adipose, largeintestine, stomach, placenta, testis"
387715	ENSG00000254636	ARMS2	age-related maculopathy susceptibility 2	"ARMD8, P0C7Q2"	-10	92%	literature	none
56624	ENSG00000188611	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	"BCDase, HNAC1, LCDase, N-CDase, NCDase, Q9NR71"	-8	86%	literature	"smallintestine, placenta"
