ensembl_gene_id	IMPI_2018	MitoCarta2.0	GO_0005739	chromosome_name	start_position	end_position	hgnc_symbol	hg38_chromosome_name	hg38_start_position	hg38_end_position	hg38_hgnc_symbol
ENSG00000065833	FALSE	TRUE	TRUE	6	83920108	84140797	ME1	6	83210389	83431071	ME1
ENSG00000065911	TRUE	TRUE	TRUE	2	74425689	74444692	MTHFD2	2	74198562	74217565	MTHFD2
ENSG00000066427	FALSE	FALSE	TRUE	14	92524896	92572965	ATXN3	14	92044496	92106625	ATXN3
ENSG00000066651	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000066739	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000066813	TRUE	FALSE	TRUE	16	20547548	20587749	ACSM2B	16	20536226	20576427	ACSM2B
ENSG00000066855	TRUE	TRUE	TRUE	8	66556969	66683496	MTFR1	8	65644734	65771261	MTFR1
ENSG00000066926	TRUE	TRUE	TRUE	18	55215515	55254004	FECH	18	57548283	57586772	FECH
ENSG00000067064	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000067177	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000067182	FALSE	FALSE	TRUE	12	6437923	6451280	TNFRSF1A	12	6328757	6342114	TNFRSF1A
ENSG00000067221	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000067225	TRUE	FALSE	TRUE	15	72491370	72524164	PKM	15	72199029	72231822	PKM
ENSG00000067560	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000067704	TRUE	TRUE	TRUE	1	220267444	220321380	IARS2	1	220094102	220148041	IARS2
ENSG00000067829	TRUE	TRUE	TRUE	X	153051221	153059978	IDH3G	X	153785766	153794523	IDH3G
ENSG00000067992	TRUE	TRUE	TRUE	X	24483338	24557954	PDK3	X	24465221	24541862	PDK3
ENSG00000068097	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000068120	TRUE	TRUE	TRUE	17	40713485	40718295	COASY	17	42561467	42566277	COASY
ENSG00000068366	TRUE	TRUE	TRUE	X	108867473	108976632	ACSL4	X	109624244	109733403	ACSL4
ENSG00000068615	FALSE	FALSE	TRUE	2	86441116	86565206	REEP1	2	86213993	86338083	REEP1
ENSG00000068784	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000068903	FALSE	FALSE	TRUE	19	39369197	39390502	SIRT2	19	38878555	38899862	SIRT2
ENSG00000069329	FALSE	FALSE	TRUE	16	46690054	46723430	VPS35	16	46656132	46689518	VPS35
ENSG00000069509	TRUE	TRUE	TRUE	X	44382885	44402247	FUNDC1	X	44523639	44543001	FUNDC1
ENSG00000069535	TRUE	TRUE	TRUE	X	43625858	43741693	MAOB	X	43766611	43882447	MAOB
ENSG00000069998	TRUE	TRUE	TRUE	22	17618401	17646177	CECR5	NA	NA	NA	NA
ENSG00000070081	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000070214	TRUE	FALSE	TRUE	9	108006903	108201452	SLC44A1	9	105244622	105439171	SLC44A1
ENSG00000070808	FALSE	FALSE	TRUE	5	149599054	149669854	CAMK2A	5	150219491	150290291	CAMK2A
ENSG00000071082	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000072042	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000072062	TRUE	FALSE	TRUE	19	14202500	14228896	PRKACA	19	14091688	14118084	PRKACA
ENSG00000072110	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000072133	TRUE	FALSE	TRUE	X	83318984	83442933	RPS6KA6	X	84058346	84187907	RPS6KA6
ENSG00000072210	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000072274	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000072506	TRUE	TRUE	TRUE	X	53458206	53461320	HSD17B10	X	53431258	53434373	HSD17B10
ENSG00000072518	FALSE	FALSE	TRUE	11	63606400	63678491	MARK2	11	63838928	63911019	MARK2
ENSG00000072756	TRUE	TRUE	TRUE	3	3168600	3192563	TRNT1	3	3126916	3150879	TRNT1
ENSG00000072778	TRUE	TRUE	TRUE	17	7120444	7128592	ACADVL	17	7217125	7225273	ACADVL
ENSG00000073169	TRUE	TRUE	TRUE	NA	NA	NA	NA	22	50200979	50217616	SELENOO
ENSG00000073282	FALSE	FALSE	TRUE	3	189349205	189615068	TP63	3	189631416	189897279	TP63
ENSG00000073578	TRUE	TRUE	TRUE	5	218356	256815	SDHA	5	218241	256700	SDHA
ENSG00000073905	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000074071	TRUE	TRUE	TRUE	16	1821891	1823156	MRPS34	16	1771890	1773155	MRPS34
ENSG00000074582	TRUE	TRUE	TRUE	2	219523487	219528166	BCS1L	2	218658764	218663443	BCS1L
ENSG00000074695	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000074696	TRUE	FALSE	TRUE	NA	NA	NA	NA	15	65530418	65578352	HACD3
ENSG00000074755	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000074800	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000075035	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000075142	FALSE	FALSE	TRUE	7	87834433	87856308	SRI	7	88205118	88226993	SRI
ENSG00000075239	TRUE	TRUE	TRUE	11	107992243	108018503	ACAT1	11	108121516	108147776	ACAT1
ENSG00000075240	TRUE	FALSE	TRUE	22	46971909	47075688	GRAMD4	22	46576012	46679790	GRAMD4
ENSG00000075303	TRUE	TRUE	TRUE	7	87462883	87505672	SLC25A40	7	87833568	87876357	SLC25A40
ENSG00000075336	TRUE	TRUE	TRUE	18	71815746	71826197	TIMM21	18	74148511	74160530	TIMM21
ENSG00000075415	TRUE	TRUE	TRUE	12	98987369	98995946	SLC25A3	12	98593591	98606379	SLC25A3
ENSG00000075624	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000075785	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000076043	TRUE	TRUE	TRUE	11	114310108	114321001	REXO2	11	114439386	114450279	REXO2
ENSG00000076242	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000076248	TRUE	TRUE	TRUE	12	109535379	109548797	UNG	12	109097574	109110992	UNG
ENSG00000076555	TRUE	TRUE	TRUE	12	109554400	109706031	ACACB	12	109116595	109268226	ACACB
ENSG00000077157	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000077713	TRUE	TRUE	TRUE	X	118533023	118588441	SLC25A43	X	119399060	119454478	SLC25A43
ENSG00000078061	FALSE	FALSE	TRUE	X	47420516	47431307	ARAF	X	47561100	47571920	ARAF
ENSG00000078070	TRUE	TRUE	TRUE	3	182733006	182833863	MCCC1	3	183015218	183116075	MCCC1
ENSG00000078237	FALSE	FALSE	TRUE	NA	NA	NA	NA	12	4307763	4354593	TIGAR
ENSG00000078369	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000078618	FALSE	TRUE	TRUE	NA	NA	NA	NA	1	51789191	51878937	NRDC
ENSG00000078668	TRUE	TRUE	TRUE	8	42249142	42263415	VDAC3	8	42391624	42405897	VDAC3
ENSG00000078900	FALSE	FALSE	TRUE	1	3569084	3652765	TP73	1	3652520	3736201	TP73
ENSG00000079263	FALSE	FALSE	TRUE	2	231067826	231223762	SP140	2	230203110	230313215	SP140
ENSG00000079332	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000079785	FALSE	FALSE	TRUE	2	15731302	15771235	DDX1	2	15591178	15631111	DDX1
ENSG00000080371	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000080815	TRUE	FALSE	TRUE	14	73603126	73690399	PSEN1	14	73136418	73223691	PSEN1
ENSG00000080819	TRUE	TRUE	TRUE	3	98239976	98312567	CPOX	3	98579446	98593723	CPOX
ENSG00000080824	TRUE	FALSE	TRUE	14	102547075	102606036	HSP90AA1	14	102080738	102139699	HSP90AA1
ENSG00000081177	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000081181	TRUE	TRUE	TRUE	14	68086515	68118437	ARG2	14	67619798	67651720	ARG2
ENSG00000081791	TRUE	TRUE	TRUE	NA	NA	NA	NA	5	141923808	141942047	DELE1
ENSG00000082175	FALSE	FALSE	TRUE	11	100900355	101001255	PGR	11	101029624	101130524	PGR
ENSG00000082212	TRUE	TRUE	TRUE	18	48405419	48474691	ME2	18	50878734	50954257	ME2
ENSG00000082515	TRUE	TRUE	TRUE	5	154320630	154348971	MRPL22	5	154941070	154969411	MRPL22
ENSG00000082701	FALSE	FALSE	TRUE	3	119540170	119813264	GSK3B	3	119821323	120094417	GSK3B
ENSG00000083099	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000083123	TRUE	TRUE	TRUE	6	80816364	81055987	BCKDHB	6	80106647	80346270	BCKDHB
ENSG00000083720	TRUE	TRUE	TRUE	5	41730167	41870621	OXCT1	5	41730065	41870519	OXCT1
ENSG00000084090	TRUE	TRUE	TRUE	2	96850597	96874563	STARD7	2	96184859	96208825	STARD7
ENSG00000084092	TRUE	TRUE	TRUE	4	57829536	57844989	NOA1	4	56963370	56978823	NOA1
ENSG00000084207	TRUE	FALSE	TRUE	11	67351066	67354131	GSTP1	11	67583595	67586656	GSTP1
ENSG00000084733	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000084734	FALSE	FALSE	TRUE	2	27719709	27746554	GCKR	2	27496842	27523684	GCKR
ENSG00000084754	TRUE	TRUE	TRUE	2	26413504	26467594	HADHA	2	26190635	26244726	HADHA
ENSG00000085491	TRUE	TRUE	TRUE	1	108676658	108743471	SLC25A24	1	108134036	108200849	SLC25A24
ENSG00000085662	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000085719	FALSE	FALSE	TRUE	8	87497059	87573726	CPNE3	8	86514427	86561498	CPNE3
ENSG00000085760	TRUE	TRUE	TRUE	2	55463731	55496483	MTIF2	2	55236595	55269347	MTIF2
ENSG00000086061	TRUE	FALSE	TRUE	9	33025209	33039905	DNAJA1	9	33025211	33039907	DNAJA1
ENSG00000086189	FALSE	FALSE	TRUE	5	61683081	61699766	DIMT1	5	62387254	62403939	DIMT1
ENSG00000086289	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000086504	TRUE	TRUE	TRUE	16	417384	420527	MRPL28	16	366969	371289	MRPL28
ENSG00000086991	TRUE	FALSE	TRUE	11	89057524	89322779	NOX4	11	89324356	89498187	NOX4
ENSG00000087008	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000087074	TRUE	FALSE	TRUE	19	49375649	49379314	PPP1R15A	19	48872392	48876057	PPP1R15A
ENSG00000087086	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000087088	TRUE	TRUE	TRUE	19	49458072	49465055	BAX	19	48954815	48961798	BAX
ENSG00000087157	TRUE	TRUE	TRUE	17	76374721	76421195	PGS1	17	78378640	78425114	PGS1
ENSG00000087245	FALSE	FALSE	TRUE	16	55423612	55540603	MMP2	16	55389700	55506691	MMP2
ENSG00000087250	FALSE	FALSE	TRUE	16	56622986	56625000	MT3	16	56589074	56591088	MT3
ENSG00000087299	TRUE	TRUE	TRUE	14	50704281	50779266	L2HGDH	14	50237563	50312548	L2HGDH
ENSG00000087470	TRUE	TRUE	TRUE	12	32832134	32898486	DNM1L	12	32679200	32745650	DNM1L
ENSG00000087510	FALSE	FALSE	TRUE	20	55204358	55214339	TFAP2C	20	56629302	56639283	TFAP2C
ENSG00000088179	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000088320	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000088682	TRUE	TRUE	TRUE	16	57481337	57495187	COQ9	16	57447425	57461275	COQ9
ENSG00000088766	TRUE	TRUE	TRUE	20	5986736	6020699	CRLS1	20	6006090	6040053	CRLS1
ENSG00000088808	FALSE	FALSE	TRUE	14	104200089	104313927	PPP1R13B	14	103733195	103847590	PPP1R13B
ENSG00000088854	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000088888	TRUE	TRUE	TRUE	20	3827487	3849280	MAVS	20	3846799	3876123	MAVS
ENSG00000088986	FALSE	FALSE	TRUE	12	120907653	120936296	DYNLL1	12	120469850	120498493	DYNLL1
ENSG00000089009	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000089060	TRUE	FALSE	TRUE	12	113736564	113797298	SLC8B1	12	113298759	113359493	SLC8B1
ENSG00000089127	TRUE	FALSE	TRUE	12	113344582	113369990	OAS1	12	112906777	112933222	OAS1
ENSG00000089157	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000089163	TRUE	TRUE	TRUE	12	120740119	120751052	SIRT4	12	120302316	120313249	SIRT4
ENSG00000089220	FALSE	FALSE	TRUE	12	118573663	118583389	PEBP1	12	118135858	118145584	PEBP1
ENSG00000089250	FALSE	FALSE	TRUE	12	117645947	117889975	NOS1	12	117208142	117452170	NOS1
ENSG00000089597	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000089876	TRUE	FALSE	TRUE	10	127524906	127585005	DHX32	10	125836337	125896436	DHX32
ENSG00000090020	FALSE	FALSE	TRUE	1	27425306	27493472	SLC9A1	1	27098815	27166981	SLC9A1
ENSG00000090263	TRUE	TRUE	TRUE	7	140705854	140715028	MRPS33	7	141002610	141015228	MRPS33
ENSG00000090266	TRUE	TRUE	TRUE	7	140390577	140422590	NDUFB2	7	140690777	140722790	NDUFB2
ENSG00000090432	TRUE	TRUE	TRUE	1	20825943	20834654	MUL1	1	20499448	20508161	MUL1
ENSG00000090447	FALSE	FALSE	TRUE	16	4307187	4323076	TFAP4	16	4257186	4273075	TFAP4
ENSG00000090686	FALSE	FALSE	TRUE	1	22004791	22110099	USP48	1	21678298	21783606	USP48
ENSG00000090857	TRUE	TRUE	TRUE	16	70147529	70195203	PDPR	16	70113626	70162537	PDPR
ENSG00000091140	TRUE	TRUE	TRUE	7	107531415	107572175	DLD	7	107890970	107931730	DLD
ENSG00000091483	TRUE	TRUE	TRUE	1	241660903	241683061	FH	1	241497603	241519761	FH
ENSG00000092841	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
